ChargingStation;Unit;Value;MinLevelValue;MaxLevelValue;StartHour;EndHour
AMR-00004;charge;0.3;0;NA;NA;NA
AMR-00004;min;0.035;0;NA;NA;NA
AMR-90001;min;0.034;0;NA;NA;NA
AMT-00001;min;0;0;NA;NA;NA
AMT-00003;charge;0.1657;0;NA;NA;NA
AMT-00004;charge;0.1657;0;NA;NA;NA
AMT-00006;min;0.08;0;NA;NA;NA
AMT-90005;min;0.02;0;NA;NA;NA
AND-00001;min;0;0;NA;NA;NA
AND-00003;charge;0.3;0;NA;NA;NA
AND-00003;min;0.035;0;NA;NA;NA
AND-90002;min;0.031;0;NA;NA;NA
ANS-90001;min;0.025;0;NA;NA;NA
APC-90001;min;0.025;0;NA;NA;NA
ARC-00002;charge;0.2964;0;NA;NA;NA
ARC-00002;min;0.09;0;NA;NA;NA
ARC-00003;charge;0.2;0;NA;NA;NA
ARC-00003;min;0.02;0;NA;NA;NA
ARC-90001;min;0.02;0;NA;NA;NA
ARL-00002;charge;0.297;0;NA;NA;NA
ARL-00002;kWh;0.06;0;NA;NA;NA
ARL-00002;min;0.01;0;NA;NA;NA
ARL-00003;charge;0.297;0;NA;NA;NA
ARL-00003;kWh;0.06;0;NA;NA;NA
ARL-00003;min;0.01;0;NA;NA;NA
ARL-90001;min;0.02;0;NA;NA;NA
ARR-90001;min;0.02;0;NA;NA;NA
ARV-00002;min;0;0;NA;NA;NA
ARV-00005;charge;0.2964;0;NA;NA;NA
ARV-00005;kWh;0.08;0;NA;NA;NA
ARV-00005;min;0.015;0;NA;NA;NA
ARV-00006;charge;0.2964;0;NA;NA;NA
ARV-00006;kWh;0.08;0;NA;NA;NA
ARV-00006;min;0.015;0;NA;NA;NA
ARV-90003;min;0.025;0;NA;NA;NA
ASL-00001;charge;0.2964;0;NA;NA;NA
ASL-00001;min;0.105;0;NA;NA;NA
ASL-00002;charge;0.2964;0;NA;NA;NA
ASL-00002;min;0.105;0;NA;NA;NA
ASL-00004;min;0.08;0;NA;NA;NA
ASL-00005;charge;0.297;0;NA;NA;NA
ASL-00005;kWh;0.06;0;NA;NA;NA
ASL-00005;min;0.01;0;NA;NA;NA
ASL-00006;charge;0.297;0;NA;NA;NA
ASL-00006;kWh;0.06;0;NA;NA;NA
ASL-00006;min;0.01;0;NA;NA;NA
ASL-90003;min;0.02;0;NA;NA;NA
AVR-00007;charge;0.199;0;NA;NA;NA
AVR-00007;min;0.09;0;NA;NA;NA
AVR-00008;min;0;0;NA;NA;NA
AVR-00009;min;0;0;NA;NA;NA
AVR-00010;charge;0.297;0;NA;NA;NA
AVR-00010;min;0.03;0;NA;NA;NA
AVR-00011;charge;0.3;0;NA;NA;NA
AVR-00011;min;0.03;0;NA;NA;NA
AVR-00012;charge;0.2964;0;NA;NA;NA
AVR-00012;min;0.09;0;NA;NA;NA
AVR-00013;min;0.08;0;NA;NA;NA
AVR-00015;charge;0.2964;0;NA;NA;NA
AVR-00016;charge;0.3;0;NA;NA;NA
AVR-00016;kWh;0.1;0;NA;NA;NA
AVR-00017;charge;0.3;0;NA;NA;NA
AVR-00017;kWh;0.1;0;NA;NA;NA
AVR-00018;charge;0.297;0;NA;NA;NA
AVR-00018;min;0.1;0;NA;NA;NA
AVR-00019;charge;0.3;0;NA;NA;NA
AVR-00019;min;0.1;0;NA;NA;NA
AVR-00020;min;0.06;0;NA;NA;NA
AVR-00021;charge;0.2964;0;NA;NA;NA
AVR-00021;kWh;0.06;0;NA;NA;NA
AVR-00022;charge;0.2964;0;NA;NA;NA
AVR-00022;kWh;0.1;0;NA;NA;NA
AVR-00023;min;0.02;0;NA;NA;NA
AVR-00024;min;0.02;0;NA;NA;NA
AVR-00025;min;0.02;0;NA;NA;NA
AVR-00026;min;0.02;0;NA;NA;NA
AVR-00027;charge;0.2964;0;NA;NA;NA
AVR-00027;min;0.015;0;NA;NA;NA
AVR-00029;charge;0.3;0;NA;NA;NA
AVR-00029;min;0.1;0;NA;NA;NA
AVR-00030;charge;0.2964;0;NA;NA;NA
AVR-00030;min;0.015;0;NA;NA;NA
AVR-00031;charge;0.2964;0;NA;NA;NA
AVR-00031;min;0.105;0;NA;NA;NA
AVR-00032;charge;0.3;0;NA;NA;NA
AVR-00032;min;0.1;0;NA;NA;NA
AVR-00033;charge;0.297;0;NA;NA;NA
AVR-00033;kWh;0.07;0;NA;NA;NA
AVR-00033;min;0.09;0;NA;NA;NA
AVR-00035;charge;0.2964;0;NA;NA;NA
AVR-00035;min;0.09;0;NA;NA;NA
AVR-00036;charge;0.3;0;NA;NA;NA
AVR-00036;min;0.1;0;NA;NA;NA
AVR-90001;min;0.009;0;NA;NA;NA
AVR-90002;min;0.012;0;NA;NA;NA
AVR-90003;min;0.007;0;NA;NA;NA
AVR-90004;min;0.01;0;NA;NA;NA
AVR-90005;min;0.0037;0;NA;NA;NA
AVR-90006;min;0.009;0;NA;NA;NA
AVS-90001;min;0.031;0;NA;NA;NA
AVT-90001;min;0.02;0;NA;NA;NA
AVV-00002;min;0.03;0;NA;NA;NA
AVV-00003;min;0.07;0;NA;NA;NA
AVV-90001;min;0.034;0;NA;NA;NA
AVZ-00002;charge;0.3;0;NA;NA;NA
AVZ-00002;min;0.15;0;NA;NA;NA
AVZ-00003;charge;0.3;0;NA;NA;NA
AVZ-00003;min;0.03;0;NA;NA;NA
AVZ-90001;min;0.02;0;NA;NA;NA
AZB-00004;charge;0.3;0;NA;NA;NA
AZB-00004;min;0.1;0;NA;NA;NA
AZB-00005;charge;0.3;0;NA;NA;NA
AZB-00005;min;0.1;0;NA;NA;NA
AZB-00006;charge;0.2964;0;NA;NA;NA
AZB-00006;min;0.105;0;NA;NA;NA
AZB-00007;charge;0.2964;0;NA;NA;NA
AZB-00007;min;0.105;0;NA;NA;NA
AZB-00008;charge;0.2964;0;NA;NA;NA
AZB-00008;min;0.245;0;NA;NA;NA
AZB-90003;min;0.031;0;NA;NA;NA
BAO-90001;min;0.02;0;NA;NA;NA
BBR-90001;min;0.02;0;NA;NA;NA
BCL-00003;charge;0.2964;0;NA;NA;NA
BCL-00003;min;0.02;0;NA;NA;NA
BCL-00005;charge;0.3;0;NA;NA;NA
BCL-00005;min;0.1;0;NA;NA;NA
BCL-00006;min;0.02;0;NA;NA;NA
BCL-00007;min;0.02;0;NA;NA;NA
BCL-00008;kWh;0.5121;0;NA;NA;NA
BCL-00009;kWh;0.5121;0;NA;NA;NA
BCL-00012;min;0.08;0;NA;NA;NA
BCL-00013;charge;0.297;0;NA;NA;NA
BCL-00013;min;0.06;0;NA;NA;NA
BCL-00014;charge;0.3;0;NA;NA;NA
BCL-00014;min;0.02;0;NA;NA;NA
BCL-00015;charge;0.3;0;NA;NA;NA
BCL-00015;min;0.02;0;NA;NA;NA
BCL-00016;charge;0.3;0;NA;NA;NA
BCL-00016;min;0.02;0;NA;NA;NA
BCL-00017;charge;0.3;0;NA;NA;NA
BCL-00017;min;0.02;0;NA;NA;NA
BCL-90004;min;0.025;0;NA;NA;NA
BFIN-00001;charge;0.2964;0;NA;NA;NA
BFIN-00001;min;0.01;0;NA;NA;NA
BGC-00005;min;0.08;0;NA;NA;NA
BGC-00007;charge;0.297;0;NA;NA;NA
BGC-00007;min;0.12;0;NA;NA;NA
BGC-00009;charge;0.297;0;NA;NA;NA
BGC-00009;kWh;0.07;0;NA;NA;NA
BGC-00009;min;0.09;0;NA;NA;NA
BGC-90001;min;0.0046;0;NA;NA;NA
BGC-90002;min;0.0046;0;NA;NA;NA
BGC-90003;min;0.011;0;NA;NA;NA
BJA-00006;charge;0.2964;0;NA;NA;NA
BJA-00006;min;0.035;0;NA;NA;NA
BJA-00007;charge;0.297;0;NA;NA;NA
BJA-00007;kWh;0.06;0;NA;NA;NA
BJA-00007;min;0.01;0;NA;NA;NA
BJA-00008;charge;0.297;0;NA;NA;NA
BJA-00008;kWh;0.06;0;NA;NA;NA
BJA-00008;min;0.01;0;NA;NA;NA
BJA-00009;charge;0.3;0;NA;NA;NA
BJA-00009;min;0.035;0;NA;NA;NA
BJA-00010;charge;0.297;0;NA;NA;NA
BJA-00010;kWh;0.06;0;NA;NA;NA
BJA-00010;min;0.01;0;NA;NA;NA
BJA-00011;charge;0.297;0;NA;NA;NA
BJA-00011;kWh;0.06;0;NA;NA;NA
BJA-00011;min;0.01;0;NA;NA;NA
BJA-00013;min;0.2;0;NA;NA;NA
BJA-90001;min;0.006;0;NA;NA;NA
BJA-90002;min;0.006;0;NA;NA;NA
BJA-90003;min;0.004;0;NA;NA;NA
BJA-90004;min;0.009;0;NA;NA;NA
BJA-90005;min;0.005;0;NA;NA;NA
BMT-90001;min;0.025;0;NA;NA;NA
BNV-00002;charge;0.2964;0;NA;NA;NA
BNV-00002;min;0.03;0;NA;NA;NA
BNV-00003;charge;0.2964;0;NA;NA;NA
BNV-00003;min;0.03;0;NA;NA;NA
BNV-90001;min;0.02;0;NA;NA;NA
BRB-90001;min;0.031;0;NA;NA;NA
BRC-90001;min;0.025;0;NA;NA;NA
BRG-00004;min;0.08;0;NA;NA;NA
BRG-00006;min;0;0;NA;NA;NA
BRG-00010;min;0;0;NA;NA;NA
BRG-00015;charge;0.2964;0;NA;NA;NA
BRG-00015;min;0.088;0;NA;NA;NA
BRG-00016;charge;0.2964;0;NA;NA;NA
BRG-00016;min;0.025;0;NA;NA;NA
BRG-00017;charge;0.2964;0;NA;NA;NA
BRG-00017;min;0.025;0;NA;NA;NA
BRG-00020;min;0.05;0;NA;NA;NA
BRG-00021;min;0.05;0;NA;NA;NA
BRG-00022;charge;0.2964;0;NA;NA;NA
BRG-00022;min;0.03;0;NA;NA;NA
BRG-00023;charge;0.3;0;NA;NA;NA
BRG-00023;min;0.1;0;NA;NA;NA
BRG-00024;charge;0.3;0;NA;NA;NA
BRG-00024;min;0.035;0;NA;NA;NA
BRG-00025;min;0.02;0;NA;NA;NA
BRG-00026;min;0.02;0;NA;NA;NA
BRG-00028;charge;0.3;0;NA;NA;NA
BRG-00028;min;0.1;0;NA;NA;NA
BRG-00029;charge;0.2964;0;NA;NA;NA
